gene_id,canonical_transcript
ENSG00000005108.11,ENST00000423059.4
ENSG00000003056.3,ENST00000000412.3
ENSG00000005206.12,ENST00000452401.2
ENSG00000004975.7,ENST00000005340.5
ENSG00000004455.12,ENST00000354858.6
ENSG00000003756.12,ENST00000347869.3
ENSG00000002330.9,ENST00000394532.3
ENSG00000002919.10,ENST00000393405.2
ENSG00000004059.6,ENST00000000233.5
ENSG00000005243.5,ENST00000006101.4
ENSG00000005194.10,ENST00000394391.4
ENSG00000002834.13,ENST00000318008.6
ENSG00000004534.10,ENST00000266022.4
ENSG00000005469.7,ENST00000419147.2
ENSG00000004809.9,ENST00000368919.3
ENSG00000004468.8,ENST00000226279.3
ENSG00000005471.11,ENST00000265723.4
ENSG00000005175.5,ENST00000005386.3
ENSG00000003393.10,ENST00000264276.6
ENSG00000004487.11,ENST00000400181.4
ENSG00000002549.8,ENST00000226299.4
ENSG00000003137.4,ENST00000001146.2
ENSG00000002587.5,ENST00000002596.5
ENSG00000000971.11,ENST00000367429.4
ENSG00000004139.9,ENST00000457710.3
ENSG00000005100.8,ENST00000225296.3
ENSG00000001497.12,ENST00000374811.3
ENSG00000005381.6,ENST00000225275.3
ENSG00000001461.12,ENST00000374399.4
ENSG00000005436.9,ENST00000321027.3
ENSG00000004838.9,ENST00000231749.3
ENSG00000000003.10,ENST00000373020.4
ENSG00000004897.7,ENST00000531206.1
ENSG00000001617.7,ENST00000002829.3
ENSG00000004399.8,ENST00000324093.4
ENSG00000004766.11,ENST00000305866.5
ENSG00000004779.5,ENST00000570319.1
ENSG00000005249.8,ENST00000265717.4
ENSG00000003402.15,ENST00000309955.3
ENSG00000001561.6,ENST00000321037.4
ENSG00000005059.11,ENST00000394650.4
ENSG00000003096.9,ENST00000539496.1
ENSG00000001626.10,ENST00000003084.6
ENSG00000003987.9,ENST00000180173.5
ENSG00000000938.8,ENST00000374005.3
ENSG00000001629.5,ENST00000265742.3
ENSG00000002933.3,ENST00000484928.1
